	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
t0_tech1_bio1	13197796	8824798	15451403	5476384	8949162	12881098	2764064	5088466	17054134	14589284	17201590	4494172
t1_tech1_bio1	11982794	6422735	22570072	4668999	11592977	10126581	13530049	4465397	3167152	13020893	15387739	8501932
t2_tech1_bio1	18461387	13579844	25627283	12320020	12348953	18623836	11796430	5848969	19242572	17574840	24046483	8189672
t0_tech1_bio2	12847204	14524264	22604631	22194113	13963366	17065624	12714857	9034970	16305703	18690714	7401145	5853833
t1_tech1_bio2	12599217	11461354	17598316	10689382	13385021	14503130	15752466	5441479	3786649	15656824	4865538	4394617
t2_tech1_bio2	13374371	12575737	11021283	11305446	9332075	7132240	6650574	7998671	15496563	12244775	19374579	3704238
t0_tech2_bio1	11457877	11285297	7487140	10135738	9935603	10355383	2552214	3842176	17034099	11996253	12235375	4413977
t1_tech2_bio1	8813517	10623916	12382134	4990428	12841591	8522940	12368248	6713584	5318243	11108782	11653621	8998012
t2_tech2_bio1	13268499	15568890	13198960	16303797	15033002	23660273	17613424	10296839	17645299	17241440	20008934	10779158
t0_tech2_bio2	11759585	15836097	12432553	14443291	16448285	12045820	10371429	5087803	18695649	16522484	5868103	7236117
t1_tech2_bio2	9595900	11895054	9651078	14668660	15463024	8823057	19374860	6393192	8477885	14490449	4503743	4513397
t2_tech2_bio2	9598280	14783066	7172377	13294395	10916979	12311735	5520330	5456558	13776581	11922772	18029999	4358252
