	tech1_bio1_tech2_bio1_m	tech1_bio2_tech2_bio2_m	tech1_bio1_tech1_bio2_m	tech1_bio1_tech2_bio2_m	tech2_bio1_tech1_bio2_m	tech2_bio1_tech2_bio2_m	tech1_bio1_tech2_bio1_v	tech1_bio2_tech2_bio2_v	tech1_bio1_tech1_bio2_v	tech1_bio1_tech2_bio2_v	tech2_bio1_tech1_bio2_v	tech2_bio1_tech2_bio2_v
t0	"[ 0.          0.17397804  0.33697197  0.50622817  0.67821249  0.84548324
  1.01541553  1.19323677  1.36868833  1.54918438  1.73778227  1.92323611
  2.10280485  2.29136833  2.49145632  2.67618982  2.867283    3.05806684
  3.24505199  3.47577506  3.77853248  4.09561501  4.40015522  4.86611959
  6.0891332 ]"	"[ 0.          0.17459451  0.33280529  0.50003101  0.66876591  0.84418388
  1.01889327  1.19327113  1.36814215  1.5343386   1.70856564  1.89011907
  2.06610536  2.25208581  2.44712904  2.62752123  2.81326014  3.04399698
  3.2864819   3.54114075  3.79158273  4.01305414  4.30717901  4.75743611
  5.96324388]"	"[ 0.          0.17863146  0.34280173  0.50953849  0.68079809  0.84722737
  1.00780963  1.16556295  1.33191654  1.49607655  1.66447662  1.83950095
  2.00628089  2.18020445  2.36019219  2.54776304  2.74177159  2.94235005
  3.14774207  3.35278506  3.61766204  3.87463484  4.09876735  4.3979503
  4.85900868  6.06285566]"	"[ 0.          0.17812723  0.33974181  0.50525248  0.67496889  0.84083955
  1.00829612  1.18361352  1.35700967  1.53448144  1.72147837  1.90596257
  2.08257598  2.2684977   2.46653725  2.65019821  2.8381477   3.02512727
  3.20837787  3.43492557  3.64722774  3.8240424   4.04477608  4.34646078
  4.80915583  6.01202991]"	"[ 0.          0.17127866  0.35721922  0.53409487  0.69813536  0.87119567
  1.04806448  1.22540057  1.40181562  1.57264659  1.75116514  1.93988496
  2.12157492  2.2923504   2.46957848  2.65341576  2.84340146  3.03271019
  3.21640648  3.44478417  3.74612759  4.05523198  4.3527386   4.81106629
  6.03778797]"	"[ 0.          0.17040898  0.32886078  0.51327756  0.70253633  0.88386355
  1.06692369  1.2504883   1.4394601   1.62725245  1.81223795  2.01073677
  2.20435806  2.39406826  2.5933433   2.80573938  3.03921068  3.28180507
  3.53901358  3.78800054  4.00857096  4.30947371  4.76338725]"	"[ 0.00166978  0.0336829   0.06893259  0.12627575  0.14545875  0.15339052
  0.18121578  0.23519696  0.2571857   0.30151528  0.33931625  0.37254901
  0.4038696   0.44106072  0.49380475  0.52673121  0.55610951  0.59774482
  0.64753168  0.69194358  0.76416925  0.81520086  0.88846263  0.97579005
  1.26491197]"	"[ 0.00166126  0.03317508  0.07147571  0.11850788  0.14219809  0.15347722
  0.17312183  0.23721588  0.25509494  0.28773065  0.30456728  0.38020784
  0.3790449   0.43044621  0.47003036  0.50194507  0.54668718  0.57915002
  0.63967337  0.67289252  0.73205538  0.75123036  0.83653493  0.89435258
  1.13953222]"	"[ 0.00147498  0.02616666  0.08067939  0.10924966  0.14168131  0.1408895
  0.17823077  0.21748244  0.26836025  0.2712387   0.33956587  0.32260596
  0.38232478  0.42133069  0.49391208  0.4638118   0.55867685  0.57464743
  0.57141701  0.66199186  0.71095166  0.80855147  0.75867205  0.90869426
  0.99714145  1.27639458]"	"[ 0.00162155  0.02955944  0.07104555  0.13425292  0.13486365  0.15167802
  0.17746227  0.23580005  0.25479096  0.3062053   0.32638823  0.38625759
  0.40586456  0.44855037  0.49323554  0.53820951  0.59033918  0.62635575
  0.66017528  0.72455588  0.78077481  0.81146692  0.86500852  0.93869921
  1.08066113  1.42486786]"	"[ 0.00170949  0.03613054  0.08387311  0.13888169  0.13718249  0.14992947
  0.21133106  0.22990274  0.27128962  0.31059907  0.35854527  0.37373575
  0.42527345  0.44647117  0.47616801  0.52743589  0.55790133  0.58695804
  0.64816435  0.67663163  0.74825783  0.82056774  0.87364373  0.96046589
  1.18926873]"	"[ 0.00185605  0.03074284  0.07137486  0.13433288  0.13713271  0.18008433
  0.19398464  0.23183197  0.30704579  0.32414551  0.34253604  0.40975924
  0.44234996  0.5045821   0.51541201  0.58591002  0.60051299  0.64128174
  0.72361518  0.6921448   0.82063217  0.90124792  1.00589226]"
t1	"[ 0.          0.19210508  0.38808389  0.59394521  0.7968672   0.9964441
  1.2051432   1.41383221  1.61806689  1.83257381  2.05422747  2.28748968
  2.53022311  2.74994077  2.96583051  3.21626395  3.46561038  3.70354824
  3.99085326  4.36001842  4.71319588  5.02360722  5.43968071  6.08838477]"	"[ 0.          0.17111969  0.34764044  0.53287946  0.72749707  0.92585742
  1.12057217  1.31230675  1.5005463   1.69780285  1.90150212  2.11372449
  2.33357942  2.55961536  2.78587222  3.01527624  3.24180488  3.45126751
  3.70270472  4.00911411  4.29520438  4.54059393  4.83748946  5.24154105
  5.86819287]"	"[ 0.          0.1520411   0.30399622  0.46293521  0.63505949  0.81005517
  0.98282429  1.1602369   1.344915    1.53922109  1.72214147  1.90911711
  2.09785553  2.28659672  2.4716864   2.65063115  2.85462304  3.08988061
  3.31793136  3.53057288  3.78815631  4.01681938  4.19253125  4.40113343
  4.64583276  4.94850437  5.35497821  5.98666912]"	"[ 0.          0.17287711  0.35001221  0.53696174  0.7338124   0.93464165
  1.13136802  1.32708006  1.51847122  1.71792054  1.9252834   2.14180239
  2.36239512  2.59099565  2.82276833  3.05615058  3.28254394  3.49636171
  3.75020124  4.06275051  4.35303185  4.60156839  4.90559501  5.31122287
  5.94247623]"	"[ 0.          0.17349883  0.36567533  0.57185801  0.78155352  0.98940578
  1.19471396  1.39841705  1.59813586  1.80832937  2.02904491  2.25679585
  2.4967336   2.71229003  2.92597344  3.17361041  3.42014799  3.64932857
  3.93202009  4.28855553  4.63471967  4.94648575  5.35780737  5.99557541]"	"[ 0.          0.19055311  0.40153102  0.63227409  0.86423767  1.10317043
  1.33826564  1.56308114  1.78687597  2.027221    2.28410693  2.52783242
  2.78460337  3.05325082  3.33201879  3.61739286  3.89705614  4.25684459
  4.60327699  4.90903243  5.31974612  5.96518911]"	"[ 0.00247976  0.04278485  0.10154353  0.17566611  0.21381325  0.24064025
  0.27847718  0.33691344  0.3932056   0.42943437  0.47552921  0.54678826
  0.60788592  0.63613029  0.71061629  0.74798104  0.81493844  0.84912196
  0.94708762  1.01456342  1.15511888  1.18048296  1.29409682  1.45635903]"	"[ 0.00214495  0.03622337  0.08632014  0.16297066  0.19260949  0.2309207
  0.27501622  0.30740731  0.37291221  0.41089387  0.45958901  0.50402415
  0.56813809  0.61720114  0.66916752  0.74254991  0.787592    0.83299276
  0.90769297  0.95504439  1.05482526  1.08713464  1.1412318   1.25723995
  1.43826891]"	"[ 0.001658    0.02353094  0.06020814  0.11856718  0.16598894  0.17621974
  0.19911265  0.28043117  0.28486261  0.3221473   0.40330881  0.39340586
  0.50259107  0.51129601  0.53907405  0.58044969  0.63406887  0.66432537
  0.75798584  0.78830724  0.83512796  0.90099738  0.88578473  0.98944377
  1.0580286   1.09034194  1.1795278   1.35917281]"	"[ 0.00222805  0.0317793   0.09358518  0.16157483  0.20152123  0.24326443
  0.28204978  0.33653953  0.37414034  0.42701949  0.49193063  0.53657403
  0.59260463  0.6626777   0.68583972  0.78425713  0.83373724  0.9150498
  0.96005933  1.02604259  1.11376953  1.1671786   1.28402609  1.34785179
  1.53268579]"	"[ 0.00239666  0.03934326  0.09802479  0.17921972  0.22565309  0.25727184
  0.30786005  0.37130048  0.41748063  0.45538739  0.52822779  0.58079128
  0.65127922  0.70660063  0.75480752  0.83833856  0.86643507  0.95302203
  1.03080536  1.11776386  1.23418168  1.27796403  1.41373458  1.58736441]"	"[ 0.0029667   0.04730156  0.12867367  0.23155204  0.24828762  0.34825578
  0.38402831  0.43931918  0.50501506  0.60025424  0.62290156  0.78500533
  0.79586902  0.87349854  0.95819727  1.08784036  1.13817519  1.24152368
  1.3261784   1.49597582  1.60790704  1.78857155]"
t2	"[ 0.          0.08334321  0.25528308  0.40603875  0.55463614  0.69952129
  0.84685644  0.99819965  1.15815225  1.30572393  1.44105279  1.5849702
  1.74106805  1.90552023  2.08199023  2.24056914  2.3774469   2.52110217
  2.67493385  2.84000669  3.01996821  3.21409866  3.42804131  3.66392862
  3.86037564  3.99918155  4.15203832  4.31761239  4.50122478  4.70045059
  4.92241778  5.16535252  5.44344801  5.77234782  6.16434101  6.66691149
  7.36033524  8.48473259]"	"[ 0.          0.10566107  0.32828783  0.52499761  0.72311734  0.92375564
  1.11720588  1.32657285  1.53094717  1.73082732  1.95173087  2.16188387
  2.35938725  2.58014568  2.82735985  3.05654063  3.26012729  3.48584205
  3.74196848  4.031179    4.37015347  4.66828926  4.89396935  5.15057363
  5.44603059  5.80752949  6.25435973  6.84348726  7.72039234  9.67636793]"	"[ 0.          0.07418277  0.23802356  0.39098826  0.53694436  0.67687718
  0.81764773  0.96215405  1.11450855  1.27753012  1.42999934  1.56942433
  1.71872989  1.87885068  2.05069984  2.23678999  2.40394732  2.54650147
  2.70024567  2.87005679  3.05221289  3.24732376  3.46245082  3.70246274
  3.90404047  4.05330888  4.21322349  4.38296257  4.56969086  4.77643301
  5.00796858  5.27640804  5.58119273  5.94232665  6.40358124  7.01780262
  7.97525134]"	"[ 0.          0.08848155  0.27729395  0.45848559  0.63523294  0.80811556
  0.98805292  1.16110191  1.32526142  1.50207194  1.69534831  1.88081312
  2.05332793  2.23846071  2.44256797  2.66766723  2.87532251  3.05589533
  3.25496848  3.47315748  3.7201226   4.00124605  4.24526782  4.42503801
  4.62164805  4.84631052  5.09702355  5.38417522  5.71913808  6.12808416
  6.66606398  7.47942776  9.03872377]"	"[ 0.          0.09193021  0.30073624  0.48958072  0.66927706  0.84423925
  1.00886529  1.16555968  1.33403383  1.51407748  1.70876681  1.89607256
  2.07026171  2.25891105  2.46340214  2.65058102  2.81114178  2.9859906
  3.17795656  3.38779533  3.6209808   3.88104328  4.10097143  4.26275775
  4.43745743  4.62862331  4.8412686   5.0866208   5.35864402  5.68508775
  6.08406772  6.58210485  7.26384246  8.3913013 ]"	"[ 0.          0.11203281  0.32707898  0.52704854  0.73720466  0.93211134
  1.12133657  1.32806242  1.52863002  1.72378358  1.93936049  2.14695963
  2.34318827  2.55778162  2.79579432  3.01343785  3.2078613   3.42282138
  3.6622752   3.93331472  4.25175346  4.52826377  4.73822598  4.97249283
  5.2409926   5.55746435  5.93566098  6.40070466  7.05148673  8.12293957]"	"[  1.07677269e-03   1.71203164e-02   5.33910469e-02   7.83602563e-02
   9.60729460e-02   1.10444615e-01   1.30695090e-01   1.55367371e-01
   1.79697815e-01   2.01291893e-01   2.20914768e-01   2.44021598e-01
   2.63455060e-01   2.92395458e-01   3.25884899e-01   3.35418603e-01
   3.67166541e-01   4.05350988e-01   4.18067301e-01   4.27148748e-01
   4.72505878e-01   4.81834567e-01   5.27997659e-01   5.69726890e-01
   5.83542038e-01   6.00223288e-01   6.39313319e-01   6.55740847e-01
   6.88601465e-01   7.26454556e-01   7.37452199e-01   7.98338218e-01
   8.32051877e-01   8.68536434e-01   9.67039465e-01   1.05165798e+00
   1.14343100e+00   1.34042401e+00]"	"[  2.05563967e-03   3.31169360e-02   9.12526530e-02   1.57870278e-01
   1.83576762e-01   2.14804012e-01   2.51542070e-01   2.95594649e-01
   3.34132380e-01   3.71843424e-01   4.40488544e-01   4.82844051e-01
   5.25197792e-01   5.72895874e-01   6.27416363e-01   7.09646716e-01
   7.35103584e-01   7.81518147e-01   8.33215455e-01   9.27570732e-01
   1.01603928e+00   1.03553323e+00   1.09794693e+00   1.16786344e+00
   1.23449720e+00   1.32971673e+00   1.43442567e+00   1.61395576e+00
   1.76868335e+00   2.35827223e+00]"	"[  1.06557620e-03   1.95582735e-02   8.10954018e-02   1.60748942e-01
   2.11959382e-01   2.67131989e-01   3.19945654e-01   3.83919539e-01
   4.48930168e-01   5.13436664e-01   5.89914121e-01   6.31379728e-01
   7.17602425e-01   7.86710009e-01   8.52896390e-01   9.56423048e-01
   1.00506893e+00   1.09343622e+00   1.18715892e+00   1.24392783e+00
   1.32129327e+00   1.39264195e+00   1.49657091e+00   1.64986234e+00
   1.74850622e+00   1.78730849e+00   1.86667964e+00   1.89747737e+00
   2.04193278e+00   2.11644422e+00   2.19859808e+00   2.39544331e+00
   2.56897825e+00   2.69536228e+00   2.94133121e+00   3.16241002e+00
   3.85673602e+00]"	"[  1.72358245e-03   2.74330455e-02   1.19850236e-01   2.11727295e-01
   2.72090684e-01   3.86834567e-01   4.37553242e-01   5.07724469e-01
   5.54426977e-01   6.61138715e-01   7.74827314e-01   8.24825760e-01
   9.39095466e-01   9.74855903e-01   1.08866211e+00   1.22086326e+00
   1.33169108e+00   1.39473198e+00   1.46382983e+00   1.61521596e+00
   1.74948859e+00   1.91801211e+00   2.04143870e+00   2.07237424e+00
   2.21935244e+00   2.26789784e+00   2.46818735e+00   2.62299319e+00
   2.84014681e+00   2.89469773e+00   3.33721460e+00   3.81592893e+00
   4.73718061e+00]"	"[  1.40882991e-03   2.77207253e-02   1.30078894e-01   2.03392609e-01
   2.81340711e-01   3.74385095e-01   4.25812794e-01   4.72195261e-01
   6.14593563e-01   6.66232093e-01   7.05353824e-01   9.38136260e-01
   9.34199050e-01   9.88075220e-01   1.12738901e+00   1.22287382e+00
   1.20267227e+00   1.43330663e+00   1.43042953e+00   1.59777634e+00
   1.79266596e+00   1.71748279e+00   1.92134101e+00   2.17571578e+00
   2.14725800e+00   1.98980895e+00   2.21174090e+00   2.48579518e+00
   2.59455299e+00   2.72549761e+00   2.96783609e+00   3.22422602e+00
   3.57057159e+00   4.32429544e+00]"	"[  2.06683615e-03   4.21048981e-02   1.53280551e-01   2.51417361e-01
   3.62825384e-01   4.44130659e-01   5.09236614e-01   6.24199036e-01
   7.15103988e-01   8.00051236e-01   9.36105226e-01   1.01816616e+00
   1.12972441e+00   1.22493773e+00   1.35598861e+00   1.48916814e+00
   1.60438187e+00   1.66586967e+00   1.81044257e+00   1.96936780e+00
   2.15646317e+00   2.28741354e+00   2.41676029e+00   2.58597831e+00
   2.70426779e+00   2.86013253e+00   3.12473374e+00   3.30892052e+00
   3.78512367e+00   4.46343165e+00]"
